Topwear_Color_Name,Topwear_Hex,Bottomwear_Color_Name,Bottomwear_Hex,Contrast_Score,Trend_Alignment,Season,Occasion,Popularity_Score,Mood_Conveyed,Time_of_Day_Preference,Skin_Tone_Compatibility
Olive Green,#808000,Khaki,#C3B091,59,Low,Spring/Summer,Party,69,Classic,Evening,Dark
Teal,#008080,Beige,#F5F5DC,53,High,Fall/Winter,Formal,50,Bold,Morning,Dark
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Black,#000000,Burnt Orange,#CC5500,100,High,All Seasons,Formal,66,Sophisticated,Night,Universal
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Turquoise,#40E0D0,Khaki,#C3B091,88,High,Spring/Summer,Formal,79,Classic,Night,Universal
Navy Blue,#000080,Gray,#808080,68,Low,Fall/Winter,Party,98,Relaxed,Evening,Dark
Peach,#FFDAB9,Brown,#A52A2A,81,Low,All Seasons,Formal,99,Classic,Morning,Universal
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Olive Green,#808000,Khaki,#C3B091,59,Low,Spring/Summer,Party,69,Classic,Evening,Dark
Black,#000000,Burnt Orange,#CC5500,99,Low,Spring/Summer,Formal,79,Bold,Night,Universal
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Turquoise,#40E0D0,Maroon,#800000,70,High,Spring/Summer,Casual,63,Sophisticated,Night,Universal
Navy Blue,#000080,Gray,#808080,68,Low,Fall/Winter,Party,98,Relaxed,Evening,Dark
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Peach,#FFDAB9,Brown,#A52A2A,81,Low,All Seasons,Formal,99,Classic,Morning,Universal
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Olive Green,#808000,Khaki,#C3B091,59,Low,Spring/Summer,Party,69,Classic,Evening,Dark
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Navy Blue,#000080,Gray,#808080,68,Low,Fall/Winter,Party,98,Relaxed,Evening,Dark
Navy Blue,#000080,Gray,#808080,68,Low,Fall/Winter,Party,98,Relaxed,Evening,Dark
Black,#000000,Denim Blue,#1560BD,96,High,All Seasons,Casual,56,Classic,Night,Universal
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Peach,#FFDAB9,Brown,#A52A2A,81,Low,All Seasons,Formal,99,Classic,Morning,Universal
Lavender,#E6E6FA,White,#FFFFFF,75,Low,All Seasons,Casual,68,Elegant,Morning,Fair
Olive Green,#808000,Khaki,#C3B091,59,Low,Spring/Summer,Party,69,Classic,Evening,Dark
